Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1909,JSWSTL,EQ,10.0,455.0,458.5,383.6,386.9,390.15,419.86,2087710,87653754275000.0,,382057,0.183
1910,JSWSTL,EQ,390.15,392.85,398.5,357.5,371.8,369.2,372.01,1226479,45626375060000.0,,232172,0.1893
1914,JSWSTL,EQ,369.2,376.7,394.05,375.0,380.0,378.85,383.64,1235794,47410479745000.0,,263415,0.2132
1915,JSWSTL,EQ,378.85,382.9,383.8,363.25,369.1,368.05,375.26,624072,23419148680000.0,,198916,0.3187
1916,JSWSTL,EQ,368.05,367.0,371.9,360.05,362.7,362.15,365.13,466349,17027753015000.0,,159641,0.3423
1917,JSWSTL,EQ,362.15,366.0,375.0,356.65,362.9,362.5,364.46,1203015,43844869335000.0,,249796,0.2076
1918,JSWSTL,EQ,362.5,366.0,396.5,361.4,391.0,391.55,384.84,1056290,40650273520000.0,,189696,0.1796
1921,JSWSTL,EQ,391.55,393.0,394.0,372.1,372.7,373.65,382.22,359643,13746288944999.998,,127320,0.354
1922,JSWSTL,EQ,373.65,375.9,377.9,364.0,367.0,365.75,370.04,279815,10354360305000.0,,79782,0.2851
1923,JSWSTL,EQ,365.75,367.0,375.9,367.0,372.2,371.9,372.6,292625,10903062830000.0,,91277,0.3119
1924,JSWSTL,EQ,371.9,377.4,379.0,366.2,367.7,367.8,371.88,189476,7046312775000.0,,71582,0.3778
1925,JSWSTL,EQ,367.8,372.5,372.5,360.25,361.05,362.1,364.65,176133,6422723160000.0,,81805,0.4645
1928,JSWSTL,EQ,362.1,361.5,365.0,357.0,362.8,361.7,361.02,243663,8796686230000.0,,74555,0.306
1929,JSWSTL,EQ,361.7,361.7,370.0,360.15,369.75,368.9,365.07,198808,7257968945000.0,,86260,0.4339
1930,JSWSTL,EQ,368.9,373.0,374.5,362.1,368.1,366.35,367.88,230785,8490109084999.999,,107692,0.4665999999999999
